config,layer,width,sae_id,avg_l0,fvu,hierarchy,parent,token,predict_absorption,absorption_structured_strict,absorption_structured_relaxed,eligible,n_eligible,parent_latent,absorber_latent,anchor_provenance,kg4_anchor,data_derived_anchor,anchor_agreement,recall_hole,firing_jaccard,precision,hole_coverage_gain,gain_ci_lo,gain_ci_hi,random_latent_gain,oracle_decoder_cos,oracle_absorption_fraction,oracle_corroborates,max_prec_latent,concentration_score,neuronpedia_parent_label,neuronpedia_absorber_label
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,later,DESCRIPTIVE_ONLY,False,False,False,13,205,9739,kg4,205,205,True,0.9167,0.0196,0.48,0.9167,0.75,1.0,0.0,0.1202,,True,7761,0.2591,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,lower,DESCRIPTIVE_ONLY,False,False,False,15,205,11826,kg4,205,205,True,1.0,0.014,0.5789,0.7857,0.5714,1.0,0.0,0.0888,1.0,True,11826,0.0435,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,load,DESCRIPTIVE_ONLY,False,False,False,28,205,474,kg4,205,205,True,0.0,0.0036,0.0,,,,,-0.0061,,False,8033,0.0185,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,let,DESCRIPTIVE_ONLY,False,False,False,21,205,7168,kg4,205,205,True,0.7778,0.0065,0.6667,0.0,0.0,0.0,0.0,0.0752,0.0,True,7168,0.017,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,large,DESCRIPTIVE_ONLY,False,False,False,21,205,13342,kg4,205,205,True,1.0,0.0026,0.5217,1.0,1.0,1.0,0.0,0.2283,1.0,True,13342,0.4656,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,long,DESCRIPTIVE_ONLY,False,True,False,33,205,9105,kg4,205,205,True,1.0,0.0121,0.8,1.0,1.0,1.0,0.0,0.2587,1.0,True,9105,0.6833,scientific terms and entities related to research studies,references to extended periods of time or duration
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,lot,DESCRIPTIVE_ONLY,False,False,False,18,205,1105,kg4,205,205,True,0.875,0.0087,0.0,0.0,0.0,0.0,0.0,0.0132,0.0,False,4288,0.004,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,local,DESCRIPTIVE_ONLY,False,False,False,21,205,14351,kg4,205,205,True,0.5,0.0276,0.4615,,,,,0.2163,1.0,True,9305,0.4011,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,like,DESCRIPTIVE_ONLY,False,False,False,29,205,859,kg4,205,205,True,1.0,0.0015,0.3,0.1935,0.0645,0.3548,0.0968,0.0436,0.0,True,427,0.0041,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,line,DESCRIPTIVE_ONLY,False,False,False,50,205,2416,kg4,205,205,True,1.0,0.0128,0.5556,1.0,1.0,1.0,0.0,0.3041,1.0,True,14629,0.1775,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,Lord,DESCRIPTIVE_ONLY,False,False,False,0,205,,kg4,205,205,True,0.0,,,,,,,,,False,,,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,last,DESCRIPTIVE_ONLY,False,False,False,42,205,16321,kg4,205,205,True,1.0,0.0049,0.1905,0.4,0.1,0.7,0.0,-0.0029,0.0,False,13191,0.0047,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,little,DESCRIPTIVE_ONLY,False,True,False,24,205,11035,kg4,205,205,True,1.0,0.0037,0.8889,0.7273,0.4545,1.0,0.0,0.0327,1.0,True,11035,0.1615,scientific terms and entities related to research studies,phrases or words indicating small amounts or degrees
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,loss,DESCRIPTIVE_ONLY,False,False,False,23,205,1209,kg4,205,205,True,0.4444,0.0192,0.9,0.4444,0.1111,0.7778,0.0,0.0341,1.0,True,8406,0.0338,,
16k_L12,12,16k,layer_12/width_16k/average_l0_82,82,0.1926,first_letter_spelling,L,light,DESCRIPTIVE_ONLY,False,True,False,28,205,1643,kg4,205,205,True,1.0,0.0146,0.8,1.0,1.0,1.0,0.0,0.3302,1.0,True,9236,0.1529,scientific terms and entities related to research studies,references to light and illumination contexts
