sub_context,n_pos,n_neg,eligible,auc_unit,auc_anchor,auc_g,auc_h,auc_dense_probe,auc_rek_mean,auc_rek_anch_mean,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_rek_mean_diff,unit_minus_rek_mean_ci_lo,unit_minus_rek_mean_ci_hi,unit_minus_rek_anch_mean_diff,unit_minus_rek_anch_mean_ci_lo,unit_minus_rek_anch_mean_ci_hi,unit_minus_dense_probe_diff,unit_minus_dense_probe_ci_lo,unit_minus_dense_probe_ci_hi,unit_minus_S_rec_anch_diff,unit_minus_S_rec_anch_ci_lo,unit_minus_S_rec_anch_ci_hi,unit_minus_S_prec_anch_diff,unit_minus_S_prec_anch_ci_lo,unit_minus_S_prec_anch_ci_hi,unit_minus_S_mag_anch_diff,unit_minus_S_mag_anch_ci_lo,unit_minus_S_mag_anch_ci_hi,unit_minus_S_rec_free_diff,unit_minus_S_rec_free_ci_lo,unit_minus_S_rec_free_ci_hi,unit_minus_S_prec_free_diff,unit_minus_S_prec_free_ci_lo,unit_minus_S_prec_free_ci_hi,unit_minus_S_mag_free_diff,unit_minus_S_mag_free_ci_lo,unit_minus_S_mag_free_ci_hi,rek_anch_p95,unit_above_rek_anch_95th,selection_established
Canada,150,2100,True,0.9993873015873016,0.9998952380952381,0.4344698412698413,0.579247619047619,0.9999777777777777,0.7497873015873016,0.9998952380952381,0.5649174603174603,0.5253804761904762,0.6042353968253968,0.4201396825396826,0.39035515873015864,0.4493969841269841,0.24960000000000004,0.22367817460317466,0.2771028571428571,-0.0005079365079364573,-0.0014857142857143124,0.0,-0.0005904761904761413,-0.0016285714285714237,-2.5396825396817313e-05,,,,,,,,,,,,,,,,,,,0.9998922222222222,False,False
France,150,2100,True,0.999463492063492,0.9998857142857143,0.4808952380952381,0.6560603174603175,0.9999746031746032,0.8682507936507936,0.9998920634920635,0.5185682539682539,0.48043134920634917,0.5561936507936507,0.3434031746031746,0.3165292063492063,0.37111134920634925,0.13121269841269845,0.11552992063492061,0.1475209523809524,-0.0004285714285714448,-0.0012825396825396629,-3.1746031745605308e-06,-0.0005111111111111288,-0.0014222222222222136,-2.2222222222256782e-05,,,,,,,,,,,,,,,,,,,0.9998857142857143,False,False
Iran,150,2100,True,0.9996063492063492,1.0,0.6847238095238095,0.7731714285714286,1.0,0.9373142857142858,1.0,0.31488253968253965,0.27303801587301585,0.35650166666666666,0.22643492063492054,0.19861515873015873,0.2544828571428571,0.0622920634920634,0.05232333333333336,0.07234920634920639,-0.0003936507936508349,-0.0012380952380952603,0.0,-0.0003936507936508349,-0.0012380952380952603,0.0,,,,,,,,,,,,,,,,,,,1.0,False,False
United States,150,2100,True,0.9740412698412698,0.869220634920635,0.6090095238095238,0.7323412698412698,0.9997492063492064,0.9768253968253968,0.9791301587301587,0.36503174603174604,0.3218570634920635,0.4094131746031745,0.24170000000000003,0.20145206349206357,0.28258650793650797,-0.002784126984127,-0.01876198412698423,0.010485952380952304,-0.0050888888888889205,-0.019028888888888856,0.005915912698412614,-0.02570793650793657,-0.04087007936507937,-0.0135728968253968,,,,,,,,,,,,,,,,,,,0.9517350793650794,True,False
Brazil,150,2100,True,0.9996857142857143,1.0,0.5193968253968254,0.6786412698412698,0.9999873015873015,0.8691587301587301,1.0,0.4802888888888889,0.44269476190476187,0.5176573015873015,0.32104444444444447,0.297939365079365,0.3442761904761905,0.13052698412698416,0.11516158730158722,0.14690484126984124,-0.0003142857142857114,-0.0010095238095237935,0.0,-0.0003015873015872472,-0.0009968253968253293,3.492063492060993e-05,,,,,,,,,,,,,,,,,,,1.0,False,False
Georgia,150,2100,True,0.9945238095238095,0.5825968253968254,0.418,0.3825079365079365,0.9997809523809523,0.8383015873015873,0.9125873015873016,0.5765238095238094,0.5339136507936507,0.6185145238095239,0.6120158730158729,0.5760878571428572,0.6475021428571428,0.15622222222222215,0.13876365079365074,0.17399063492063488,0.08193650793650786,0.07008230158730154,0.0944034126984127,-0.005257142857142849,-0.008019126984126957,-0.0028412698412698667,0.30729523809523807,0.26696936507936514,0.3480830158730158,0.41579047619047615,0.38224226190476185,0.4478889285714286,0.29371111111111103,0.2540236507936508,0.3337747619047619,0.30729523809523807,0.26696936507936514,0.3480830158730158,0.5009523809523809,0.4973745238095238,0.5045111904761905,0.29371111111111103,0.2540236507936508,0.3337747619047619,0.748356984126984,True,True
New Zealand,150,2100,True,0.9990444444444444,0.9998222222222222,0.5604380952380953,0.6337746031746032,0.9998412698412699,0.9825238095238096,0.9998539682539682,0.4386063492063491,0.4003931746031746,0.4761557142857143,0.3652698412698412,0.33046626984126987,0.4005971428571429,0.016520634920634825,0.011679365079365067,0.02161293650793651,-0.0008095238095238155,-0.002095317460317514,-1.904761904769625e-05,-0.0007968253968254624,-0.002136507936507992,0.0001142857142856224,,,,,,,,,,,,,,,,,,,0.9998222222222222,False,False
Spain,150,2100,True,0.9961650793650794,0.996547619047619,0.49022539682539684,0.6593015873015873,0.9999809523809524,0.7827269841269842,0.9982603174603175,0.5059396825396825,0.4688095238095239,0.54267,0.3368634920634921,0.31272662698412695,0.36117488095238093,0.2134380952380952,0.18695059523809518,0.2406314682539682,-0.00209523809523815,-0.006157182539682543,0.0,-0.0038158730158730503,-0.011330952380952393,1.2698412698464168e-05,,,,,,,,,,,,,,,,,,,0.99949,False,False
Mexico,150,2100,True,0.967584126984127,0.9689873015873016,0.49035555555555554,0.642652380952381,0.9998920634920635,0.891568253968254,0.9870349206349206,0.47722857142857145,0.437673253968254,0.5169730952380953,0.324931746031746,0.29329321428571425,0.3569309523809523,0.07601587301587298,0.05343964285714288,0.09689698412698415,-0.019450793650793607,-0.03308031746031753,-0.007877579365079351,-0.03230793650793651,-0.05227984126984134,-0.015190396825396836,,,,,,,,,,,,,,,,,,,0.9804513492063492,False,False
China,150,2100,True,0.9996126984126984,0.999984126984127,0.5277619047619048,0.6393904761904762,0.9999936507936508,0.7425555555555555,0.9999873015873015,0.47185079365079363,0.42751698412698413,0.5151271428571428,0.3602222222222222,0.3354279365079365,0.3847907142857142,0.2570571428571429,0.2284027777777778,0.2869369841269841,-0.00037460317460313863,-0.0011619047619046974,0.0,-0.0003809523809523707,-0.001171428571428601,9.523809523792615e-06,,,,,,,,,,,,,,,,,,,0.999984126984127,False,False
