sub_context,n,eligible,absorbed,recall_unit_raw,recall_anchor_raw,recall_g_raw,recall_h_raw,recall_dense_raw,recall_unit_matched,recall_anchor_matched,recall_g_matched,recall_h_matched,recall_dense_matched,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_g_mcnemar_p,unit_minus_g_holm_p,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_h_mcnemar_p,unit_minus_h_holm_p
Argentina,82,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487805,,,,,,,,,,
Australia,150,True,False,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9933333333333333,0.96,0.96,-0.013333333333333334,-0.04,0.013333333333333334,0.625,1.0,0.02,-0.02,0.06,0.5078125,1.0
Austria,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,0.9487179487179487,,,,,,,,,,
Belgium,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.9871794871794872,0.8589743589743589,,,,,,,,,,
Brazil,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Canada,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8866666666666667,0.9533333333333334,0.98,0.11333333333333333,0.06666666666666667,0.16666666666666666,1.52587890625e-05,0.000274658203125,0.04666666666666667,0.02,0.08,0.015625,0.25
Chile,40,False,False,0.975,0.975,1.0,1.0,1.0,0.975,0.975,0.875,0.95,0.975,,,,,,,,,,
China,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9733333333333334,0.9933333333333333,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.0625,0.875,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0
Colombia,46,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8478260869565217,0.9347826086956522,0.9130434782608695,,,,,,,,,,
Costa Rica,23,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,,,,,,,,,,
Denmark,71,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971830985915493,0.9859154929577465,0.971830985915493,,,,,,,,,,
Egypt,88,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9659090909090909,1.0,0.8977272727272727,,,,,,,,,,
Ethiopia,25,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Finland,49,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9795918367346939,,,,,,,,,,
France,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9733333333333334,0.98,0.02,0.0,0.04666666666666667,0.25,1.0,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0
Georgia,150,True,True,1.0,0.2,1.0,0.88,1.0,0.8733333333333333,0.2,0.8,0.52,0.8066666666666666,0.07333333333333333,-0.02,0.16666666666666666,0.14386508844054896,1.0,0.35333333333333333,0.25333333333333335,0.44666666666666666,3.108521862394645e-10,5.906191538549826e-09
Germany,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.9933333333333333,0.9866666666666667,0.04,0.013333333333333334,0.07333333333333333,0.03125,0.46875,0.006666666666666667,0.0,0.02,1.0,1.0
Greece,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9871794871794872,0.9871794871794872,0.9358974358974359,,,,,,,,,,
India,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.9733333333333334,1.0,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.0625,0.875,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0
Indonesia,78,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,0.9871794871794872,,,,,,,,,,
Iran,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,1.0,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0,0.0,0.0,0.0,1.0,1.0
Iraq,105,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9238095238095239,0.9809523809523809,1.0,,,,,,,,,,
Ireland,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9466666666666667,0.9533333333333334,0.9866666666666667,0.05333333333333334,0.02,0.09333333333333334,0.0078125,0.1328125,0.04666666666666667,0.013333333333333334,0.08,0.015625,0.25
Israel,150,True,False,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.9733333333333334,0.96,0.96,0.006666666666666667,0.0,0.02,1.0,1.0,0.02,-0.02,0.06,0.5078125,1.0
Italy,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9933333333333333,0.98,0.02,0.0,0.04666666666666667,0.25,1.0,0.006666666666666667,0.0,0.02,1.0,1.0
Japan,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
Jordan,124,False,True,0.9435483870967742,0.2903225806451613,0.9919354838709677,0.9193548387096774,1.0,0.20967741935483872,0.2903225806451613,0.75,0.6048387096774194,0.7096774193548387,,,,,,,,,,
Kenya,49,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9387755102040817,0.9387755102040817,,,,,,,,,,
Mexico,150,True,False,0.9466666666666667,0.9466666666666667,1.0,0.9933333333333333,1.0,0.74,0.9466666666666667,0.96,0.9,0.9066666666666666,-0.22,-0.2866666666666667,-0.15333333333333332,2.3283064365386963e-10,4.423782229423523e-09,-0.16,-0.22,-0.1,1.1920928955078125e-07,2.1457672119140625e-06
Morocco,27,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629629,1.0,1.0,,,,,,,,,,
Netherlands,126,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9206349206349206,0.9841269841269841,,,,,,,,,,
New Zealand,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9466666666666667,0.92,0.8933333333333333,0.05333333333333334,0.02,0.09333333333333334,0.0078125,0.1328125,0.08,0.04,0.12666666666666668,0.00048828125,0.00830078125
Nigeria,73,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.958904109589041,0.9726027397260274,0.9452054794520548,,,,,,,,,,
Norway,89,False,False,1.0,1.0,1.0,1.0,1.0,0.9775280898876404,1.0,0.9213483146067416,0.9662921348314607,0.9775280898876404,,,,,,,,,,
Pakistan,122,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9508196721311475,0.9672131147540983,0.9590163934426229,,,,,,,,,,
Peru,42,False,False,1.0,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,0.9285714285714286,1.0,0.9761904761904762,,,,,,,,,,
Poland,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,0.9933333333333333,0.9866666666666667,0.006666666666666667,0.0,0.02,1.0,1.0,0.006666666666666667,0.0,0.02,1.0,1.0
Portugal,48,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9583333333333334,,,,,,,,,,
Russia,150,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,1.0,1.0,0.02666666666666667,0.006666666666666667,0.05333333333333334,0.125,1.0,0.0,0.0,0.0,1.0,1.0
Saudi Arabia,53,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9056603773584906,0.9811320754716981,0.8301886792452831,,,,,,,,,,
