profession,n,eligible,parent_recall,parent_hole,best_specialist,best_specialist_precision,best_jaccard,n_specialists,absorption_type,male_hole,female_hole
model,250,True,0.884,0.116,900,1.0,0.0021,14,False,0.19047619047619047,0.040322580645161255
teacher,250,True,0.936,0.064,,,1.0,0,False,0.07258064516129037,0.05555555555555558
chiropractor,250,True,0.944,0.056,,,1.0,0,False,0.07751937984496127,0.03305785123966942
rapper,193,True,0.9482,0.0518,,,1.0,0,False,0.058394160583941646,0.0357142857142857
dj,230,True,0.9522,0.0478,,,1.0,0,False,0.0461538461538461,0.050000000000000044
dentist,250,True,0.964,0.036,14209,0.9032258064516129,0.0046,3,False,0.023622047244094446,0.04878048780487809
dietitian,250,True,0.964,0.036,,,1.0,0,False,0.05600000000000005,0.016000000000000014
comedian,250,True,0.968,0.032,8804,0.8157894736842105,0.0055,1,False,0.03968253968253965,0.024193548387096753
photographer,250,True,0.968,0.032,,,1.0,0,False,0.007936507936507908,0.056451612903225756
attorney,250,True,0.976,0.024,,,1.0,0,False,0.030303030303030276,0.016949152542372836
pastor,250,True,0.976,0.024,,,1.0,0,False,0.023076923076923106,0.025000000000000022
surgeon,250,True,0.976,0.024,13359,0.8421052631578947,0.0028,3,False,0.023622047244094446,0.024390243902439046
accountant,250,True,0.98,0.02,,,1.0,0,False,0.03200000000000003,0.008000000000000007
interior_designer,250,True,0.98,0.02,,,1.0,0,False,0.03305785123966942,0.007751937984496138
journalist,250,True,0.98,0.02,,,1.0,0,False,0.02564102564102566,0.015037593984962405
personal_trainer,250,True,0.98,0.02,,,1.0,0,False,0.032258064516129004,0.007936507936507908
poet,250,True,0.98,0.02,,,1.0,0,False,0.024390243902439046,0.015748031496062964
filmmaker,250,True,0.984,0.016,,,1.0,0,False,0.023809523809523836,0.008064516129032251
painter,250,True,0.984,0.016,,,1.0,0,False,0.016393442622950838,0.015625
architect,250,True,0.988,0.012,,,1.0,0,False,0.015151515151515138,0.008474576271186418
composer,250,True,0.988,0.012,,,1.0,0,False,0.007692307692307665,0.01666666666666672
nurse,250,True,0.988,0.012,7643,0.8666666666666667,0.0022,6,False,0.008403361344537785,0.01526717557251911
paralegal,250,True,0.988,0.012,,,1.0,0,False,0.025423728813559365,0.0
psychologist,250,True,0.988,0.012,5288,0.7037037037037037,0.0079,1,False,0.024793388429752095,0.0
yoga_teacher,248,True,0.9919,0.0081,,,1.0,0,False,0.0,0.014925373134328401
physician,250,True,0.996,0.004,13945,0.9787234042553191,0.007,3,False,0.008130081300813052,0.0
professor,250,True,0.996,0.004,13713,0.75,0.0034,1,False,0.00877192982456143,0.0
software_engineer,250,True,1.0,0.0,2908,0.875,0.0036,1,False,0.0,0.0
